대분류,중분류,소분류,테스트 항목,테스트 절차,기대 결과
Admin,QA 라운드 목록,생성 다이얼로그,케이스 포함 생성,케이스를 선택한 뒤 라운드를 생성한다,선택 케이스가 라운드 항목으로 스냅샷 저장된다
Admin,QA 라운드 상세,상단 액션,라운드 종료,진행 중 라운드에서 라운드 종료를 클릭한다,상태가 종료로 바뀌고 수정성 액션이 비활성화된다
Admin,QA 라운드 상세,상단 액션,라운드 재개,종료된 라운드에서 라운드 재개를 클릭한다,상태가 진행 중으로 바뀌고 수정성 액션이 활성화된다
Admin,QA 라운드 상세,상단 액션,CSV 가져오기 버튼,진행 중 라운드 상세에 진입한다,상단에 CSV로 가져오기 버튼이 표시된다
Admin,QA 라운드 상세,상단 액션,항목 추가 버튼,진행 중 라운드 상세에서 항목 추가를 클릭한다,케이스 선택 다이얼로그가 열린다
Admin,QA 라운드 상세,통계 카드,진행률 계산,Pass Fail 보류 미실행 상태를 섞어 저장한다,전체 Pass Fail 보류 진행률 카드가 정확히 갱신된다
Admin,QA 라운드 상세,필터 영역,상태 필터,Pass Fail 보류 미실행 필터를 각각 선택한다,선택한 상태의 항목만 표시된다
Admin,QA 라운드 상세,필터 영역,담당자 필터,특정 담당자 필터를 선택한다,해당 담당자에게 배정된 항목만 표시된다
Admin,QA 라운드 상세,필터 영역,검색,페이지명 섹션명 테스트 항목명으로 검색한다,일치하는 QA 항목만 표시된다
Admin,QA 라운드 상세,그룹 헤더,페이지 단위 그룹,QA 항목 목록을 확인한다,플랫폼과 페이지명이 그룹 헤더에 함께 표시된다
Admin,QA 라운드 상세,테이블 위치 컬럼,섹션 위치 표시,QA 항목 테이블을 확인한다,각 행에 플랫폼 페이지 섹션 위치가 별도 컬럼으로 표시된다
Admin,QA 라운드 상세,행 펼침 영역,테스트 내용 수정,QA 행을 펼쳐 테스트 항목 절차 기대 결과를 수정한다,해당 라운드 스냅샷만 수정되고 저장된다
Admin,QA 라운드 상세,행 펼침 영역,증빙 업로드,QA 행을 펼쳐 스크린샷을 업로드한다,업로드된 이미지 미리보기와 URL이 저장된다
Admin,QA 라운드 상세,행 펼침 영역,상세 내용 기록,발생 상황 상세 내용을 입력한다,입력 내용이 저장되고 CSV 내보내기에 포함된다
Admin,QA 라운드 상세,상태 버튼,Pass 처리,QA 항목의 Pass 버튼을 클릭한다,상태가 Pass로 저장되고 통계가 갱신된다
Admin,QA 라운드 상세,상태 버튼,Fail 처리,QA 항목의 Fail 버튼을 클릭한다,상태가 Fail로 저장되고 Fail 배지가 그룹 헤더에 표시된다
Admin,QA 라운드 상세,상태 버튼,보류 처리,QA 항목의 보류 버튼을 클릭한다,상태가 보류로 저장되고 보류 통계가 갱신된다
Admin,QA 라운드 상세,담당자 셀,담당자 배정,담당자 셀에서 관리자를 선택한다,선택한 담당자 이메일이 저장된다
Admin,QA 라운드 상세,확인 체크,담당자 확인 완료,행 펼침 영역에서 담당자 확인 완료를 체크한다,확인 값이 저장되고 내보내기 CSV에 확인으로 표시된다
Admin,QA 라운드 상세,CSV 가져오기 모달,템플릿 다운로드,CSV로 가져오기 모달에서 템플릿 다운로드를 클릭한다,대분류 중분류 소분류 테스트 항목 절차 기대 결과 헤더가 포함된 파일이 다운로드된다
Admin,QA 라운드 상세,CSV 가져오기 모달,정상 import,유효한 QA CSV를 선택하고 가져오기를 클릭한다,신규 케이스가 생성되고 현재 라운드에 추가된다
Admin,QA 라운드 상세,CSV 가져오기 모달,기존 케이스 재사용,동일한 대분류 중분류 소분류 테스트 항목 행을 가져온다,기존 케이스를 재사용하고 중복 생성하지 않는다
Admin,QA 라운드 상세,CSV 가져오기 모달,필수값 누락,대분류 테스트 항목 절차 기대 결과 중 하나가 빈 CSV를 선택한다,가져오기가 차단되고 누락 행 안내가 표시된다
Admin,QA 라운드 상세,CSV 가져오기 모달,닫힌 라운드 차단,종료된 라운드에서 CSV import API를 호출한다,종료된 라운드는 수정할 수 없다는 오류가 반환된다
Admin,QA 라운드 상세,CSV 내보내기,결과 다운로드,CSV 내보내기를 클릭한다,분류 테스트 내용 담당자 상태 증빙 상세 결과가 포함된 CSV가 다운로드된다
Admin,QA 케이스 뱅크,목록 테이블,케이스 목록 표시,/qa-case-bank에 진입한다,케이스가 분류와 제목 기준으로 표시된다
Admin,QA 케이스 뱅크,검색 필터,키워드 검색,페이지명 또는 테스트 항목명으로 검색한다,일치하는 케이스만 표시된다
Admin,QA 케이스 뱅크,추가 다이얼로그,필수값 검증,대분류 제목 절차 기대 결과 중 하나를 비우고 저장한다,저장이 차단되거나 필수 입력 안내가 표시된다
Admin,QA 케이스 뱅크,추가 다이얼로그,신규 케이스 생성,유효한 케이스 정보를 입력하고 저장한다,케이스가 생성되고 목록에 표시된다
Admin,QA 케이스 뱅크,수정 다이얼로그,케이스 원본 수정,기존 케이스 내용을 수정한다,케이스 뱅크 원본이 수정되고 기존 라운드 스냅샷은 유지된다
Admin,QA 케이스 뱅크,삭제 액션,사용 중 케이스 삭제 제한,라운드에 포함된 케이스 삭제를 시도한다,삭제가 차단되고 안내 메시지가 표시된다
API,Auth API,소셜 로그인,Google 토큰 교환,유효한 Google id token으로 로그인 API를 호출한다,access token refresh token 사용자 정보가 반환된다
API,Auth API,소셜 로그인,Apple 토큰 교환,유효한 Apple id token으로 로그인 API를 호출한다,access token refresh token 사용자 정보가 반환된다
API,Auth API,토큰 갱신,refresh token,만료된 access token과 유효한 refresh token으로 갱신을 요청한다,새 access token이 반환되고 기존 요청을 재시도할 수 있다
API,Projects API,프로젝트 생성,문항 포함 생성,프로젝트와 문항 목록을 포함해 생성 API를 호출한다,프로젝트와 입력 순서의 문항이 생성된다
API,Projects API,프로젝트 삭제,소프트 삭제,프로젝트 삭제 API를 호출한다,deleted_at이 설정되고 사용자 목록에서 제외된다
API,Questions API,문항 bulk 생성,순서 보존,여러 문항 bulk 생성 API를 호출한다,입력 순서대로 order가 저장된다
API,Questions API,문항 수정,완료 상태 명시,is_completed true 또는 false로 PATCH를 호출한다,요청한 완료 상태가 그대로 반영된다
API,Questions API,레거시 완료 토글,Android 호환 complete,레거시 complete 엔드포인트를 호출한다,구버전 Android 호환을 위해 완료 상태가 토글된다
API,Chats API,채팅 히스토리,신규 경로 응답,프로젝트 하위 채팅 히스토리 API를 호출한다,chats experience_ids next_cursor has_more 중심의 응답이 반환된다
API,Chats API,채팅 히스토리,레거시 경로 응답,기존 projects chats question_id API를 호출한다,구버전 앱이 기대하는 응답 구조가 유지된다
API,Chats API,SSE 스트리밍,이벤트 순서,채팅 스트리밍 API를 호출한다,SSE 이벤트가 순서대로 전달되고 최종 메시지가 저장된다
API,Experiences API,경험 CRUD,생성 조회 수정 삭제,경험 생성 조회 수정 삭제 API를 순서대로 호출한다,각 단계가 사용자 소유권과 삭제 상태를 지키며 동작한다
API,Experiences API,문항 매칭,신규 matches 경로,question_id 쿼리로 경험 매칭 API를 호출한다,문항에 맞는 경험 목록과 점수가 반환된다
API,Experiences API,문항 매칭,레거시 match-question 경로,기존 match-question 경로를 호출한다,구버전 앱 호환 응답이 유지된다
API,Report API,경험 분석,집계 응답,경험 분석 리포트 API를 호출한다,카테고리 유형 태그 집계가 클라이언트 기대 구조로 반환된다
API,Payment API,결제 시작,PayApp URL,유효한 플랜으로 결제 시작 API를 호출한다,결제 URL 또는 결제 식별자가 반환된다
API,Payment API,결제 완료,구독 반영,결제 성공 처리 또는 웹훅을 수행한다,구독 상태 결제 기록 토큰 지급이 정확히 반영된다
API,Subscription API,구독 취소,자동 갱신 해제,구독 취소 API를 호출한다,다음 결제일부터 자동 갱신이 중단되는 상태로 저장된다
API,Referral API,추천 코드,정상 적용,유효한 추천 코드를 적용한다,추천 관계와 양쪽 보상 토큰이 반영된다
API,Referral API,추천 코드,중복 적용 차단,이미 추천 코드를 적용한 사용자가 다시 적용한다,중복 적용이 거부된다
API,Banners API,배너 조회,노출 순서,배너 조회 API를 호출한다,is_visible true 배너가 display_order 순으로 반환된다
